branch,arxiv,task,placeholder,scorer,score
"continuum, first-quantized",1010.1819,"Construct Kinetic Hamiltonian (continuum version, single-particle)",definition_of_variables,Will,(TODO)
"continuum, first-quantized",1010.1819,"Construct Kinetic Hamiltonian (continuum version, single-particle)",definition_of_variables,Yasaman,2
"continuum, first-quantized",1010.1819,"Construct Kinetic Hamiltonian (continuum version, single-particle)",Note that the sublattice degrees of freedom is suppressed for now and will be stated later,Haining,0
"continuum, first-quantized",1010.1819,"Construct Kinetic Hamiltonian (continuum version, single-particle)",Note that the sublattice degrees of freedom is suppressed for now and will be stated later,Will,(TODO)
"continuum, first-quantized",1010.1819,"Construct Kinetic Hamiltonian (continuum version, single-particle)",Note that the sublattice degrees of freedom is suppressed for now and will be stated later,Yasaman,2
"continuum, first-quantized",1010.1819,Define each term in Kinetic Hamiltonian (continuum version),Energy_dispersion,Haining,0
"continuum, first-quantized",1010.1819,Define each term in Kinetic Hamiltonian (continuum version),Energy_dispersion,Will,(TODO)
"continuum, first-quantized",1010.1819,Define each term in Kinetic Hamiltonian (continuum version),Energy_dispersion,Yasaman,2
"continuum, first-quantized",1010.1819,Define each term in Kinetic Hamiltonian (continuum version),parabolic|Dirac|cos,Haining,0
"continuum, first-quantized",1010.1819,Define each term in Kinetic Hamiltonian (continuum version),parabolic|Dirac|cos,Will,(TODO)
"continuum, first-quantized",1010.1819,Define each term in Kinetic Hamiltonian (continuum version),parabolic|Dirac|cos,Yasaman,0
"continuum, first-quantized",1010.1819,Define each term in Kinetic Hamiltonian (continuum version),electrons|holes,Haining,0
"continuum, first-quantized",1010.1819,Define each term in Kinetic Hamiltonian (continuum version),electrons|holes,Will,(TODO)
"continuum, first-quantized",1010.1819,Define each term in Kinetic Hamiltonian (continuum version),electrons|holes,Yasaman,0
"continuum, first-quantized",1010.1819,Define each term in Kinetic Hamiltonian (continuum version),momentum_shift,Haining,0
"continuum, first-quantized",1010.1819,Define each term in Kinetic Hamiltonian (continuum version),momentum_shift,Will,(TODO)
"continuum, first-quantized",1010.1819,Define each term in Kinetic Hamiltonian (continuum version),momentum_shift,Yasaman,0
"continuum, first-quantized",1010.1819,Define each term in Kinetic Hamiltonian (continuum version),k_symbol,Haining,0
"continuum, first-quantized",1010.1819,Define each term in Kinetic Hamiltonian (continuum version),k_symbol,Will,(TODO)
"continuum, first-quantized",1010.1819,Define each term in Kinetic Hamiltonian (continuum version),k_symbol,Yasaman,0
"continuum, first-quantized",1010.1819,Define each term in Kinetic Hamiltonian (continuum version),shifted_Ek,Haining,0
"continuum, first-quantized",1010.1819,Define each term in Kinetic Hamiltonian (continuum version),shifted_Ek,Will,(TODO)
"continuum, first-quantized",1010.1819,Define each term in Kinetic Hamiltonian (continuum version),shifted_Ek,Yasaman,0
"continuum, first-quantized",1010.1819,Define each term in Kinetic Hamiltonian (continuum version),r_symbol,Haining,2
"continuum, first-quantized",1010.1819,Define each term in Kinetic Hamiltonian (continuum version),r_symbol,Will,(TODO)
"continuum, first-quantized",1010.1819,Define each term in Kinetic Hamiltonian (continuum version),r_symbol,Yasaman,2
"continuum, first-quantized",1010.1819,Define each term in Kinetic Hamiltonian (continuum version),kinetic_symbol,Haining,2
"continuum, first-quantized",1010.1819,Define each term in Kinetic Hamiltonian (continuum version),kinetic_symbol,Will,(TODO)
"continuum, first-quantized",1010.1819,Define each term in Kinetic Hamiltonian (continuum version),kinetic_symbol,Yasaman,2
"continuum, first-quantized",1010.1819,Define each term in Kinetic Hamiltonian (continuum version),definition_of_variables,Haining,1
"continuum, first-quantized",1010.1819,Define each term in Kinetic Hamiltonian (continuum version),definition_of_variables,Will,(TODO)
"continuum, first-quantized",1010.1819,Define each term in Kinetic Hamiltonian (continuum version),definition_of_variables,Yasaman,0
"continuum, first-quantized",1010.1819,Define each term in Kinetic Hamiltonian (continuum version),"In addition, a shift of {momentum_shift} in the momentum ${k_symbol}$ for {shifted_Ek}, respectively.",Haining,0
"continuum, first-quantized",1010.1819,Define each term in Kinetic Hamiltonian (continuum version),"In addition, a shift of {momentum_shift} in the momentum ${k_symbol}$ for {shifted_Ek}, respectively.",Will,(TODO)
"continuum, first-quantized",1010.1819,Define each term in Kinetic Hamiltonian (continuum version),"In addition, a shift of {momentum_shift} in the momentum ${k_symbol}$ for {shifted_Ek}, respectively.",Yasaman,2
"continuum, first-quantized",1010.1819,"Convert from single-particle to second-quantized form, return in matrix",real|momentum,Haining,2
"continuum, first-quantized",1010.1819,"Convert from single-particle to second-quantized form, return in matrix",real|momentum,Will,(TODO)
"continuum, first-quantized",1010.1819,"Convert from single-particle to second-quantized form, return in matrix",real|momentum,Yasaman,2
"continuum, first-quantized",1010.1819,"Convert from single-particle to second-quantized form, return in matrix",nonint_symbol,Haining,2
"continuum, first-quantized",1010.1819,"Convert from single-particle to second-quantized form, return in matrix",nonint_symbol,Will,(TODO)
"continuum, first-quantized",1010.1819,"Convert from single-particle to second-quantized form, return in matrix",nonint_symbol,Yasaman,2
"continuum, first-quantized",1010.1819,"Convert from single-particle to second-quantized form, return in matrix",kinetic_symbol,Haining,0
"continuum, first-quantized",1010.1819,"Convert from single-particle to second-quantized form, return in matrix",kinetic_symbol,Will,(TODO)
"continuum, first-quantized",1010.1819,"Convert from single-particle to second-quantized form, return in matrix",kinetic_symbol,Yasaman,2
"continuum, first-quantized",1010.1819,"Convert from single-particle to second-quantized form, return in matrix",potential_symbol,Haining,0
"continuum, first-quantized",1010.1819,"Convert from single-particle to second-quantized form, return in matrix",potential_symbol,Will,(TODO)
"continuum, first-quantized",1010.1819,"Convert from single-particle to second-quantized form, return in matrix",potential_symbol,Yasaman,1
"continuum, first-quantized",1010.1819,"Convert from single-particle to second-quantized form, return in matrix",$r$|$k$,Haining,2
"continuum, first-quantized",1010.1819,"Convert from single-particle to second-quantized form, return in matrix",$r$|$k$,Will,(TODO)
"continuum, first-quantized",1010.1819,"Convert from single-particle to second-quantized form, return in matrix",$r$|$k$,Yasaman,2
"continuum, first-quantized",1010.1819,"Convert from single-particle to second-quantized form, return in matrix",second_nonint_symbol,Haining,0
"continuum, first-quantized",1010.1819,"Convert from single-particle to second-quantized form, return in matrix",second_nonint_symbol,Will,(TODO)
"continuum, first-quantized",1010.1819,"Convert from single-particle to second-quantized form, return in matrix",second_nonint_symbol,Yasaman,2
"continuum, first-quantized",1010.1819,"Convert from single-particle to second-quantized form, return in matrix",definition_of_variables,Haining,1
"continuum, first-quantized",1010.1819,"Convert from single-particle to second-quantized form, return in matrix",definition_of_variables,Will,(TODO)
"continuum, first-quantized",1010.1819,"Convert from single-particle to second-quantized form, return in matrix",definition_of_variables,Yasaman,2
"continuum, first-quantized",1010.1819,"Convert from single-particle to second-quantized form, return in summation (expand the matrix)",second_nonint_symbol,Haining,1
"continuum, first-quantized",1010.1819,"Convert from single-particle to second-quantized form, return in summation (expand the matrix)",second_nonint_symbol,Will,(TODO)
"continuum, first-quantized",1010.1819,"Convert from single-particle to second-quantized form, return in summation (expand the matrix)",second_nonint_symbol,Yasaman,1
"continuum, first-quantized",1010.1819,"Convert from single-particle to second-quantized form, return in summation (expand the matrix)",matrix_element_symbol,Haining,2
"continuum, first-quantized",1010.1819,"Convert from single-particle to second-quantized form, return in summation (expand the matrix)",matrix_element_symbol,Will,(TODO)
"continuum, first-quantized",1010.1819,"Convert from single-particle to second-quantized form, return in summation (expand the matrix)",matrix_element_symbol,Yasaman,2
"continuum, first-quantized",1010.1819,"Convert from single-particle to second-quantized form, return in summation (expand the matrix)",basis_symbol,Haining,2
"continuum, first-quantized",1010.1819,"Convert from single-particle to second-quantized form, return in summation (expand the matrix)",basis_symbol,Will,(TODO)
"continuum, first-quantized",1010.1819,"Convert from single-particle to second-quantized form, return in summation (expand the matrix)",basis_symbol,Yasaman,2
"continuum, first-quantized",1010.1819,"Convert from single-particle to second-quantized form, return in summation (expand the matrix)",definition_of_variables,Haining,2
"continuum, first-quantized",1010.1819,"Convert from single-particle to second-quantized form, return in summation (expand the matrix)",definition_of_variables,Will,(TODO)
"continuum, first-quantized",1010.1819,"Convert from single-particle to second-quantized form, return in summation (expand the matrix)",definition_of_variables,Yasaman,2
"continuum, first-quantized",1010.1819,Construct interaction Hamiltonian (momentum space),second_int_symbol,Haining,2
"continuum, first-quantized",1010.1819,Construct interaction Hamiltonian (momentum space),second_int_symbol,Will,(TODO)
"continuum, first-quantized",1010.1819,Construct interaction Hamiltonian (momentum space),second_int_symbol,Yasaman,2
"continuum, first-quantized",1010.1819,Construct interaction Hamiltonian (momentum space),index_of_operator,Haining,1
"continuum, first-quantized",1010.1819,Construct interaction Hamiltonian (momentum space),index_of_operator,Will,(TODO)
"continuum, first-quantized",1010.1819,Construct interaction Hamiltonian (momentum space),index_of_operator,Yasaman,1
"continuum, first-quantized",1010.1819,Construct interaction Hamiltonian (momentum space),momentum,Haining,0
"continuum, first-quantized",1010.1819,Construct interaction Hamiltonian (momentum space),momentum,Will,(TODO)
"continuum, first-quantized",1010.1819,Construct interaction Hamiltonian (momentum space),momentum,Yasaman,0
"continuum, first-quantized",1010.1819,Construct interaction Hamiltonian (momentum space),interaction,Haining,0
"continuum, first-quantized",1010.1819,Construct interaction Hamiltonian (momentum space),interaction,Will,(TODO)
"continuum, first-quantized",1010.1819,Construct interaction Hamiltonian (momentum space),interaction,Yasaman,0
"continuum, first-quantized",1010.1819,Construct interaction Hamiltonian (momentum space),int_form,Haining,2
"continuum, first-quantized",1010.1819,Construct interaction Hamiltonian (momentum space),int_form,Will,(TODO)
"continuum, first-quantized",1010.1819,Construct interaction Hamiltonian (momentum space),int_form,Yasaman,2
"continuum, first-quantized",1010.1819,Construct interaction Hamiltonian (momentum space),normalization_factor,Haining,1
"continuum, first-quantized",1010.1819,Construct interaction Hamiltonian (momentum space),normalization_factor,Will,(TODO)
"continuum, first-quantized",1010.1819,Construct interaction Hamiltonian (momentum space),normalization_factor,Yasaman,0
"continuum, first-quantized",1010.1819,Construct interaction Hamiltonian (momentum space),op,Haining,1
"continuum, first-quantized",1010.1819,Construct interaction Hamiltonian (momentum space),op,Will,(TODO)
"continuum, first-quantized",1010.1819,Construct interaction Hamiltonian (momentum space),op,Yasaman,2
"continuum, first-quantized",1010.1819,Construct interaction Hamiltonian (momentum space),definition_of_variables,Haining,2
"continuum, first-quantized",1010.1819,Construct interaction Hamiltonian (momentum space),definition_of_variables,Will,(TODO)
"continuum, first-quantized",1010.1819,Construct interaction Hamiltonian (momentum space),definition_of_variables,Yasaman,2
"continuum, first-quantized",1010.1819,Construct interaction Hamiltonian (momentum space),"For each operator, the total momentum is the sum of moire reciprocal lattice $b_i$ and momentum with in the first BZ $k_i$",Haining,2
"continuum, first-quantized",1010.1819,Construct interaction Hamiltonian (momentum space),"For each operator, the total momentum is the sum of moire reciprocal lattice $b_i$ and momentum with in the first BZ $k_i$",Will,(TODO)
"continuum, first-quantized",1010.1819,Construct interaction Hamiltonian (momentum space),"For each operator, the total momentum is the sum of moire reciprocal lattice $b_i$ and momentum with in the first BZ $k_i$",Yasaman,2
"continuum, first-quantized",1010.1819,Wick's theorem,second_int_symbol,Haining,2
"continuum, first-quantized",1010.1819,Wick's theorem,second_int_symbol,Will,(TODO)
"continuum, first-quantized",1010.1819,Wick's theorem,second_int_symbol,Yasaman,2
"continuum, first-quantized",1010.1819,Wick's theorem,Hartree_Fock_symbol,Haining,2
"continuum, first-quantized",1010.1819,Wick's theorem,Hartree_Fock_symbol,Will,(TODO)
"continuum, first-quantized",1010.1819,Wick's theorem,Hartree_Fock_symbol,Yasaman,2
"continuum, first-quantized",1010.1819,Wick's theorem,definition_of_variables,Haining,2
"continuum, first-quantized",1010.1819,Wick's theorem,definition_of_variables,Will,(TODO)
"continuum, first-quantized",1010.1819,Wick's theorem,definition_of_variables,Yasaman,1
"continuum, first-quantized",1010.1819,Extract quadratic term,Hartree_Fock_term_symbol,Haining,2
"continuum, first-quantized",1010.1819,Extract quadratic term,Hartree_Fock_term_symbol,Will,(TODO)
"continuum, first-quantized",1010.1819,Extract quadratic term,Hartree_Fock_term_symbol,Yasaman,2
"continuum, first-quantized",1010.1819,Extract quadratic term,bilinear_op,Haining,2
"continuum, first-quantized",1010.1819,Extract quadratic term,bilinear_op,Will,(TODO)
"continuum, first-quantized",1010.1819,Extract quadratic term,bilinear_op,Yasaman,2
"continuum, first-quantized",1010.1819,Extract quadratic term,Hartree_Fock_second_quantized_symbol,Haining,2
"continuum, first-quantized",1010.1819,Extract quadratic term,Hartree_Fock_second_quantized_symbol,Will,(TODO)
"continuum, first-quantized",1010.1819,Extract quadratic term,Hartree_Fock_second_quantized_symbol,Yasaman,2
"continuum, first-quantized",1010.1819,Extract quadratic term,definition_of_variables,Haining,2
"continuum, first-quantized",1010.1819,Extract quadratic term,definition_of_variables,Will,(TODO)
"continuum, first-quantized",1010.1819,Extract quadratic term,definition_of_variables,Yasaman,2
"continuum, first-quantized",1010.1819,Expand interaction,Hartree_Fock_second_quantized_symbol,Haining,1
"continuum, first-quantized",1010.1819,Expand interaction,Hartree_Fock_second_quantized_symbol,Will,(TODO)
"continuum, first-quantized",1010.1819,Expand interaction,Hartree_Fock_second_quantized_symbol,Yasaman,2
"continuum, first-quantized",1010.1819,Expand interaction,momentum,Haining,2
"continuum, first-quantized",1010.1819,Expand interaction,momentum,Will,(TODO)
"continuum, first-quantized",1010.1819,Expand interaction,momentum,Yasaman,2
"continuum, first-quantized",1010.1819,Swap the index to combine Hartree and Fock terms,Hartree_Fock_second_quantized_symbol,Haining,2
"continuum, first-quantized",1010.1819,Swap the index to combine Hartree and Fock terms,Hartree_Fock_second_quantized_symbol,Will,(TODO)
"continuum, first-quantized",1010.1819,Swap the index to combine Hartree and Fock terms,Hartree_Fock_second_quantized_symbol,Yasaman,2
"continuum, first-quantized",1010.1819,Swap the index to combine Hartree and Fock terms,expected_value,Haining,1
"continuum, first-quantized",1010.1819,Swap the index to combine Hartree and Fock terms,expected_value,Will,(TODO)
"continuum, first-quantized",1010.1819,Swap the index to combine Hartree and Fock terms,expected_value,Yasaman,0
"continuum, first-quantized",1010.1819,Swap the index to combine Hartree and Fock terms,expression_Hartree_1,Haining,1
"continuum, first-quantized",1010.1819,Swap the index to combine Hartree and Fock terms,expression_Hartree_1,Will,(TODO)
"continuum, first-quantized",1010.1819,Swap the index to combine Hartree and Fock terms,expression_Hartree_1,Yasaman,0
"continuum, first-quantized",1010.1819,Swap the index to combine Hartree and Fock terms,expression_Hartree_2,Haining,1
"continuum, first-quantized",1010.1819,Swap the index to combine Hartree and Fock terms,expression_Hartree_2,Will,(TODO)
"continuum, first-quantized",1010.1819,Swap the index to combine Hartree and Fock terms,expression_Hartree_2,Yasaman,0
"continuum, first-quantized",1010.1819,Reduce momentum in Hartree term (momentum in BZ + reciprocal lattice),Hartree_second_quantized_symbol,Haining,1
"continuum, first-quantized",1010.1819,Reduce momentum in Hartree term (momentum in BZ + reciprocal lattice),Hartree_second_quantized_symbol,Will,(TODO)
"continuum, first-quantized",1010.1819,Reduce momentum in Hartree term (momentum in BZ + reciprocal lattice),Hartree_second_quantized_symbol,Yasaman,0
"continuum, first-quantized",1010.1819,Reduce momentum in Hartree term (momentum in BZ + reciprocal lattice),expected_value,Haining,1
"continuum, first-quantized",1010.1819,Reduce momentum in Hartree term (momentum in BZ + reciprocal lattice),expected_value,Will,(TODO)
"continuum, first-quantized",1010.1819,Reduce momentum in Hartree term (momentum in BZ + reciprocal lattice),expected_value,Yasaman,2
"continuum, first-quantized",1010.1819,Reduce momentum in Hartree term (momentum in BZ + reciprocal lattice),expected_value_nonzero,Haining,1
"continuum, first-quantized",1010.1819,Reduce momentum in Hartree term (momentum in BZ + reciprocal lattice),expected_value_nonzero,Will,(TODO)
"continuum, first-quantized",1010.1819,Reduce momentum in Hartree term (momentum in BZ + reciprocal lattice),expected_value_nonzero,Yasaman,0
"continuum, first-quantized",1010.1819,Reduce momentum in Fock term (momentum in BZ + reciprocal lattice),Fock_second_quantized_symbol,Haining,1
"continuum, first-quantized",1010.1819,Reduce momentum in Fock term (momentum in BZ + reciprocal lattice),Fock_second_quantized_symbol,Will,(TODO)
"continuum, first-quantized",1010.1819,Reduce momentum in Fock term (momentum in BZ + reciprocal lattice),Fock_second_quantized_symbol,Yasaman,2
"continuum, first-quantized",1010.1819,Reduce momentum in Fock term (momentum in BZ + reciprocal lattice),expected_value,Haining,1
"continuum, first-quantized",1010.1819,Reduce momentum in Fock term (momentum in BZ + reciprocal lattice),expected_value,Will,(TODO)
"continuum, first-quantized",1010.1819,Reduce momentum in Fock term (momentum in BZ + reciprocal lattice),expected_value,Yasaman,1
"continuum, first-quantized",1010.1819,Reduce momentum in Fock term (momentum in BZ + reciprocal lattice),expected_value_nonzero,Haining,1
"continuum, first-quantized",1010.1819,Reduce momentum in Fock term (momentum in BZ + reciprocal lattice),expected_value_nonzero,Will,(TODO)
"continuum, first-quantized",1010.1819,Reduce momentum in Fock term (momentum in BZ + reciprocal lattice),expected_value_nonzero,Yasaman,0
"continuum, first-quantized",1010.1819,Combine the Hartree and Fock term,symbol,Haining,1
"continuum, first-quantized",1010.1819,Combine the Hartree and Fock term,symbol,Will,(TODO)
"continuum, first-quantized",1010.1819,Combine the Hartree and Fock term,symbol,Yasaman,2
"continuum, first-quantized",1010.1819,Combine the Hartree and Fock term,Fock,Haining,1
"continuum, first-quantized",1010.1819,Combine the Hartree and Fock term,Fock,Will,(TODO)
"continuum, first-quantized",1010.1819,Combine the Hartree and Fock term,Fock,Yasaman,2
"continuum, first-quantized",1010.1819,Combine the Hartree and Fock term,swap rule,Haining,0
"continuum, first-quantized",1010.1819,Combine the Hartree and Fock term,swap rule,Will,(TODO)
"continuum, first-quantized",1010.1819,Combine the Hartree and Fock term,swap rule,Yasaman,0
"continuum, first-quantized",1010.1819,Construct full Hamiltonian after HF,Hartree_Fock_symbol,Haining,(TODO)
"continuum, first-quantized",1010.1819,Construct full Hamiltonian after HF,Hartree_Fock_symbol,Will,(TODO)
"continuum, first-quantized",1010.1819,Construct full Hamiltonian after HF,Hartree_Fock_symbol,Yasaman,(TODO)
"continuum, first-quantized",1010.1819,Construct full Hamiltonian after HF,kinetic_symbol,Haining,(TODO)
"continuum, first-quantized",1010.1819,Construct full Hamiltonian after HF,kinetic_symbol,Will,(TODO)
"continuum, first-quantized",1010.1819,Construct full Hamiltonian after HF,kinetic_symbol,Yasaman,(TODO)
"continuum, first-quantized",1010.1819,Construct full Hamiltonian after HF,expression_kinetic,Haining,(TODO)
"continuum, first-quantized",1010.1819,Construct full Hamiltonian after HF,expression_kinetic,Will,(TODO)
"continuum, first-quantized",1010.1819,Construct full Hamiltonian after HF,expression_kinetic,Yasaman,(TODO)
"continuum, first-quantized",1010.1819,Construct full Hamiltonian after HF,int_symbol,Haining,(TODO)
"continuum, first-quantized",1010.1819,Construct full Hamiltonian after HF,int_symbol,Will,(TODO)
"continuum, first-quantized",1010.1819,Construct full Hamiltonian after HF,int_symbol,Yasaman,(TODO)
"continuum, first-quantized",1010.1819,Construct full Hamiltonian after HF,expression_int,Haining,(TODO)
"continuum, first-quantized",1010.1819,Construct full Hamiltonian after HF,expression_int,Will,(TODO)
"continuum, first-quantized",1010.1819,Construct full Hamiltonian after HF,expression_int,Yasaman,(TODO)
"continuum, first-quantized",1010.1819,Construct full Hamiltonian after HF,Ham_symbol,Haining,(TODO)
"continuum, first-quantized",1010.1819,Construct full Hamiltonian after HF,Ham_symbol,Will,(TODO)
"continuum, first-quantized",1010.1819,Construct full Hamiltonian after HF,Ham_symbol,Yasaman,(TODO)
"continuum, first-quantized",1010.1819,Construct full Hamiltonian after HF,definition_of_variables,Haining,(TODO)
"continuum, first-quantized",1010.1819,Construct full Hamiltonian after HF,definition_of_variables,Will,(TODO)
"continuum, first-quantized",1010.1819,Construct full Hamiltonian after HF,definition_of_variables,Yasaman,(TODO)
"continuum, first-quantized",1208.0116,"Construct Kinetic Hamiltonian (continuum version, single-particle)",system,Haining,2
"continuum, first-quantized",1208.0116,"Construct Kinetic Hamiltonian (continuum version, single-particle)",system,Will,(TODO)
"continuum, first-quantized",1208.0116,"Construct Kinetic Hamiltonian (continuum version, single-particle)",system,Yasaman,2
"continuum, first-quantized",1208.0116,"Construct Kinetic Hamiltonian (continuum version, single-particle)",real|momentum,Haining,0
"continuum, first-quantized",1208.0116,"Construct Kinetic Hamiltonian (continuum version, single-particle)",real|momentum,Will,(TODO)
"continuum, first-quantized",1208.0116,"Construct Kinetic Hamiltonian (continuum version, single-particle)",real|momentum,Yasaman,0
"continuum, first-quantized",1208.0116,"Construct Kinetic Hamiltonian (continuum version, single-particle)",single-particle|second-quantized,Haining,0
"continuum, first-quantized",1208.0116,"Construct Kinetic Hamiltonian (continuum version, single-particle)",single-particle|second-quantized,Will,(TODO)
"continuum, first-quantized",1208.0116,"Construct Kinetic Hamiltonian (continuum version, single-particle)",single-particle|second-quantized,Yasaman,2
"continuum, first-quantized",1208.0116,"Construct Kinetic Hamiltonian (continuum version, single-particle)",degrees_of_freedom,Haining,2
"continuum, first-quantized",1208.0116,"Construct Kinetic Hamiltonian (continuum version, single-particle)",degrees_of_freedom,Will,(TODO)
"continuum, first-quantized",1208.0116,"Construct Kinetic Hamiltonian (continuum version, single-particle)",degrees_of_freedom,Yasaman,2
"continuum, first-quantized",1208.0116,"Construct Kinetic Hamiltonian (continuum version, single-particle)",kinetic_symbol,Haining,2
"continuum, first-quantized",1208.0116,"Construct Kinetic Hamiltonian (continuum version, single-particle)",kinetic_symbol,Will,(TODO)
"continuum, first-quantized",1208.0116,"Construct Kinetic Hamiltonian (continuum version, single-particle)",kinetic_symbol,Yasaman,2
"continuum, first-quantized",1208.0116,"Construct Kinetic Hamiltonian (continuum version, single-particle)",variable,Haining,2
"continuum, first-quantized",1208.0116,"Construct Kinetic Hamiltonian (continuum version, single-particle)",variable,Will,(TODO)
"continuum, first-quantized",1208.0116,"Construct Kinetic Hamiltonian (continuum version, single-particle)",variable,Yasaman,2
"continuum, first-quantized",1208.0116,"Construct Kinetic Hamiltonian (continuum version, single-particle)",order,Haining,2
"continuum, first-quantized",1208.0116,"Construct Kinetic Hamiltonian (continuum version, single-particle)",order,Will,(TODO)
"continuum, first-quantized",1208.0116,"Construct Kinetic Hamiltonian (continuum version, single-particle)",order,Yasaman,2
"continuum, first-quantized",1208.0116,"Construct Kinetic Hamiltonian (continuum version, single-particle)",definition_of_variables,Haining,2
"continuum, first-quantized",1208.0116,"Construct Kinetic Hamiltonian (continuum version, single-particle)",definition_of_variables,Will,(TODO)
"continuum, first-quantized",1208.0116,"Construct Kinetic Hamiltonian (continuum version, single-particle)",definition_of_variables,Yasaman,2
"continuum, first-quantized",1208.0116,"Construct Kinetic Hamiltonian (continuum version, single-particle)",Note that the sublattice degrees of freedom is suppressed for now and will be stated later,Haining,2
"continuum, first-quantized",1208.0116,"Construct Kinetic Hamiltonian (continuum version, single-particle)",Note that the sublattice degrees of freedom is suppressed for now and will be stated later,Will,(TODO)
"continuum, first-quantized",1208.0116,"Construct Kinetic Hamiltonian (continuum version, single-particle)",Note that the sublattice degrees of freedom is suppressed for now and will be stated later,Yasaman,2
"continuum, first-quantized",1208.0116,Define each term in Kinetic Hamiltonian (continuum version),Energy_dispersion,Haining,0
"continuum, first-quantized",1208.0116,Define each term in Kinetic Hamiltonian (continuum version),Energy_dispersion,Will,(TODO)
"continuum, first-quantized",1208.0116,Define each term in Kinetic Hamiltonian (continuum version),Energy_dispersion,Yasaman,2
"continuum, first-quantized",1208.0116,Define each term in Kinetic Hamiltonian (continuum version),parabolic|Dirac|cos,Haining,0
"continuum, first-quantized",1208.0116,Define each term in Kinetic Hamiltonian (continuum version),parabolic|Dirac|cos,Will,(TODO)
"continuum, first-quantized",1208.0116,Define each term in Kinetic Hamiltonian (continuum version),parabolic|Dirac|cos,Yasaman,0
"continuum, first-quantized",1208.0116,Define each term in Kinetic Hamiltonian (continuum version),electrons|holes,Haining,2
"continuum, first-quantized",1208.0116,Define each term in Kinetic Hamiltonian (continuum version),electrons|holes,Will,(TODO)
"continuum, first-quantized",1208.0116,Define each term in Kinetic Hamiltonian (continuum version),electrons|holes,Yasaman,2
"continuum, first-quantized",1208.0116,Define each term in Kinetic Hamiltonian (continuum version),momentum_shift,Haining,0
"continuum, first-quantized",1208.0116,Define each term in Kinetic Hamiltonian (continuum version),momentum_shift,Will,(TODO)
"continuum, first-quantized",1208.0116,Define each term in Kinetic Hamiltonian (continuum version),momentum_shift,Yasaman,0
"continuum, first-quantized",1208.0116,Define each term in Kinetic Hamiltonian (continuum version),k_symbol,Haining,0
"continuum, first-quantized",1208.0116,Define each term in Kinetic Hamiltonian (continuum version),k_symbol,Will,(TODO)
"continuum, first-quantized",1208.0116,Define each term in Kinetic Hamiltonian (continuum version),k_symbol,Yasaman,2
"continuum, first-quantized",1208.0116,Define each term in Kinetic Hamiltonian (continuum version),shifted_Ek,Haining,0
"continuum, first-quantized",1208.0116,Define each term in Kinetic Hamiltonian (continuum version),shifted_Ek,Will,(TODO)
